include,col_name,type
y,person,character
y,time,numeric
y,type,character
y,legMode,character
y,vehicleType,character
y,links,character
y,numPassengers,integer
y,length,numeric
y,mode,character
y,endY,numeric
y,endX,numeric
y,startY,numeric
y,startX,numeric
y,arrivalTime,integer
y,departureTime,integer
y,linkTravelTime,character
y,riders,character
y,vehicle,character
y,departTime,numeric
y,currentTourMode,character
y,location,numeric
y,tourIndex,numeric
y,actType,character
y,locationY,numeric
y,locationX,numeric
y,score,numeric
y,reason,character
n,link,numeric
n,primaryFuel,numeric
n,primaryFuelLevel,numeric
n,capacity,numeric
n,secondaryFuel,numeric
n,secondaryFuelType,character
n,primaryFuelType,character
n,toStopIndex,numeric
n,fromStopIndex,numeric
n,seatingCapacity,numeric
n,tollPaid,numeric
n,secondaryFuelLevel,numeric
n,driver,character
n,expectedMaximumUtility,character
n,availableAlternatives,character
n,facility,character
n,parkingTaz,character
n,chargingPointType,character
n,pricingModel,character
n,parkingType,character
n,price,character
n,cost,numeric
n,shiftStatus,character
n,parkingZoneId,character
n,fuel,character
n,duration,character
