iterations,bike,bike_transit,car,drive_transit,hov2,hov2_teleportation,hov3,hov3_teleportation,ride_hail,ride_hail_pooled,ride_hail_transit,walk,walk_transit
0,10090,0,107473,94,22675,35842,24457,63697,0,0,0,79526,22940
1,11536,2021,109801,221,23538,33154,25693,56991,82,179,29,79389,24203
2,11583,2491,111500,247,22951,32638,25045,55733,78,194,26,79608,24707
3,12420,3962,116676,355,22443,31059,25012,51546,163,254,48,75769,27218
4,13305,5035,119427,388,22435,29833,24885,49287,170,279,50,72714,29070
5,13881,5852,122597,456,22055,29161,24366,47271,197,269,56,70154,30607
6,14474,6510,124582,493,22196,28856,23987,45395,208,300,54,68167,31723
7,14894,7236,126532,536,21852,28330,23898,43652,215,304,64,66551,32951
8,15300,7675,129067,557,21498,27814,23293,42227,225,277,49,65035,33953
9,15666,8150,130648,585,21094,27421,23408,41347,231,260,50,63276,34798
10,16234,8383,132319,587,20803,27276,23024,40028,239,288,54,62126,35532
11,15962,8612,133209,588,21047,27104,21900,40285,252,257,67,61307,36359
12,16351,8866,134097,630,21290,26846,20017,40979,235,265,62,60330,37006
13,16510,9121,135255,636,20950,26449,19998,40937,252,277,69,58857,37664
14,16635,9266,135610,692,21439,26307,19550,40236,269,278,77,58178,38451
15,16926,9567,136169,636,21276,26172,20261,39373,247,264,72,57018,38999
16,16738,9749,136569,647,21653,26279,18910,39645,225,271,79,57065,39207
17,17519,9911,137146,632,21387,26209,20361,38232,260,270,80,55497,39536
18,17177,9890,137274,671,21717,25659,18460,40201,282,253,82,55216,40126
19,17924,10244,138256,675,21458,26034,20143,37681,262,289,77,53867,40154
20,17822,10232,138008,670,21398,25757,18730,39233,286,264,69,53918,40624
21,18195,10399,138653,670,21723,25853,19857,37241,273,293,68,53123,40660
22,17995,10351,138809,662,21757,25937,18158,38786,301,248,66,52961,40976
23,18601,10568,139034,663,21694,25942,19651,37262,275,260,64,51816,41177
24,18131,10421,139297,680,21757,25748,17905,38860,274,281,73,52031,41571
25,18401,10617,139517,669,21748,25913,19686,37262,238,222,77,50909,41788
26,18306,10494,139954,664,21865,25955,18536,37973,281,241,74,51040,41660
27,18733,10653,140529,692,21596,26010,19330,36968,299,217,74,49796,42166
28,18541,10711,139642,679,22280,25713,17677,38279,295,231,66,50566,42333
29,19073,10943,140794,686,21801,25585,18995,36777,324,246,72,49433,42354
30,18981,10933,140942,713,22179,26049,19027,36478,292,230,72,48647,42537
31,18876,11063,141633,678,22071,25810,17346,37518,289,261,82,48705,42804
32,19458,11027,141355,672,22203,25711,19163,36037,271,235,66,47909,42919
33,19432,11015,141732,715,22327,25727,17774,37223,312,238,76,47599,42931
34,19580,11287,141584,678,22444,25911,18628,36106,277,280,77,47078,43171
35,19375,11239,141923,672,22569,25728,18154,36481,265,242,74,46728,43621
36,19637,11306,141720,744,22558,25918,18208,36166,283,299,74,46659,43542
37,19699,11235,142258,731,22485,25886,17785,36399,304,272,88,46340,43666
38,20015,11357,142225,705,22458,25810,18595,35799,311,266,73,45900,43648
39,19416,11360,142423,709,22743,25906,17309,36675,296,241,57,46114,43864
40,20047,11360,142142,705,22960,25827,18803,35458,329,255,72,45445,43720
41,20025,11210,142677,710,22653,26045,17128,36826,291,261,71,45298,43867
